productId,brand,name,condition,specSummary,specs,highlights,description,warranty,completeness,defects,createdAt,variantId,color,colorHex,storage,price,strikePrice,stock,SKU_Induk,Warna,Image_Count,Image_URLs,Link_Produk
infinix-hot-70,Infinix,Infinix Hot 70,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-hot-70-default,-,#8e8e93,-,2699000,,ready,INF-H70-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/h/o/hot_70_slv_1_2.webp,https://eraspace.com/erafone/infinix-hot-70
infinix-note-60-ultra,Infinix,Infinix Note 60 Ultra,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-note-60-ultra-default,-,#8e8e93,-,11999000,,ready,INF-N60U-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/n/o/note_60_ultra_red_1.webp,https://eraspace.com/erafone/infinix-note-60-ultra
infinix-note-60-pro-5g,Infinix,Infinix Note 60 Pro 5G,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-note-60-pro-5g-default,-,#8e8e93,-,5499000,,ready,INF-N60P-5G-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_note_60_pro_5g_orange_1.webp,https://eraspace.com/erafone/infinix-note-60-pro-5g
infinix-note-60-5g,Infinix,Infinix Note 60 5G,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-note-60-5g-default,-,#8e8e93,-,4699000,,ready,INF-N60-5G-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_note_60_5g_titanium_01.webp,https://eraspace.com/erafone/infinix-note-60-5g
infinix-smart-20,Infinix,Infinix Smart 20,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-smart-20-default,-,#8e8e93,-,1849000,,ready,INF-S20-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_smart_20_black_01.webp,https://eraspace.com/erafone/infinix-smart-20
infinix-note-edge-5g,Infinix,Infinix Note Edge 5G,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-note-edge-5g-default,-,#8e8e93,-,3799000,,ready,INF-NE5G-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_note_edge_5g_black_01_1.webp,https://eraspace.com/erafone/infinix-note-edge-5g
infinix-xpad-30e-4g,Infinix,Infinix XPAD 30E 4G,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-xpad-30e-4g-default,-,#8e8e93,-,2699000,,ready,INF-X30E4G-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/i/n/inf_xpad_30e_purple_1.webp,https://eraspace.com/erafone/infinix-xpad-30e-4g
infinix-xbuds-h5,Infinix,Infinix Xbuds H5,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-xbuds-h5-default,-,#8e8e93,-,169000,,ready,INF-XB-H5-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_xbuds_h5_xe36_blue_1_.webp,https://eraspace.com/erafone/infinix-xbuds-h5
infinix-hot-60i,Infinix,Infinix Hot 60i,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-hot-60i-default,-,#8e8e93,-,2799000,,ready,INF-H60I-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_hot_60i_black_01.jpg,https://eraspace.com/erafone/infinix-hot-60i
infinix-hot-60-pro,Infinix,Infinix Hot 60 Pro+,baru,-,[],[],,Garansi Resmi,Fullset,[],2026-07-10T11:43:20.032Z,infinix-hot-60-pro-default,-,#8e8e93,-,3499000,,ready,INF-H60PP-ER-CON,-,1,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_hot_60_plus_black_1.jpg,https://eraspace.com/erafone/infinix-hot-60-pro-plus
