productId,brand,name,condition,specSummary,specs,highlights,warranty,completeness,defects,createdAt,variantId,color,colorHex,storage,price,strikePrice,stock,SKU_Induk,Warna,Image_Count,Image_URLs,Link_Produk,url_key
vivo-y31d,vivo,vivo Y31d,baru,"4GB/128GB · Qualcomm SM6225 Snapdragon 685 (6 nm), Octa-core · 7200mAh · Kamera Dual 50 MP f/2.0 (wide) + 2 MP f/2.4","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.75 inci, 1570 \u00d7 720, LCD, 120Hz""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 4 GB, ROM 128 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 16, OriginOS 6""}, {""label"": ""CPU"", ""value"": ""Qualcomm SM6225 Snapdragon 685 (6 nm), Octa-core""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Dual 50 MP f/2.0 (wide) + 2 MP f/2.4; Depan 8 MP f/2.0""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""7200 mAh, 44W""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""SIM"", ""value"": ""Dual SIM""}, {""label"": ""Berat"", ""value"": ""219 g""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""Qualcomm SM6225 Snapdragon 685 (6 nm), Octa-core""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.75 inci, 1570 \u00d7 720, LCD, 120Hz""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Dual 50 MP f/2.0 (wide) + 2 MP f/2.4""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""7200mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,vivo-y31d-4128-gb-white,White,#ffffff,4/128 GB,3599000,,ready,VIV-Y31D-ER-CON,White,7,"https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_white_1_1_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_white_2_1_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_white_3_1_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_white_4_1_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_white_5_1_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_white_6_1_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_white_7_1_1_1.webp",https://eraspace.com/erafone/vivo-y31d,vivo-y31d
vivo-y31d,vivo,vivo Y31d,baru,"4GB/128GB · Qualcomm SM6225 Snapdragon 685 (6 nm), Octa-core · 7200mAh · Kamera Dual 50 MP f/2.0 (wide) + 2 MP f/2.4","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.75 inci, 1570 \u00d7 720, LCD, 120Hz""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 4 GB, ROM 128 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 16, OriginOS 6""}, {""label"": ""CPU"", ""value"": ""Qualcomm SM6225 Snapdragon 685 (6 nm), Octa-core""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Dual 50 MP f/2.0 (wide) + 2 MP f/2.4; Depan 8 MP f/2.0""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""7200 mAh, 44W""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""SIM"", ""value"": ""Dual SIM""}, {""label"": ""Berat"", ""value"": ""219 g""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""Qualcomm SM6225 Snapdragon 685 (6 nm), Octa-core""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.75 inci, 1570 \u00d7 720, LCD, 120Hz""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Dual 50 MP f/2.0 (wide) + 2 MP f/2.4""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""7200mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,vivo-y31d-4128-gb-grey,Grey,#8e8e93,4/128 GB,3599000,,ready,VIV-Y31D-ER-CON,Grey,2,"https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_grey_3_2_1_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_y31d_pro_grey_4_2_1_1_1.webp",https://eraspace.com/erafone/vivo-y31d,vivo-y31d
oppo-a6s,OPPO,OPPO A6s,baru,"8GB/128GB · Qualcomm Snapdragon 685, Octa-core · 7000mAh · Kamera Dual 50 MP f/1.8 (wide) PDAF","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.75 inci, 1570 \u00d7 720 pixels, IPS LCD, 120Hz""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 8 GB, ROM 128 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 15, ColorOS 15.0""}, {""label"": ""CPU"", ""value"": ""Qualcomm Snapdragon 685, Octa-core""}, {""label"": ""GPU"", ""value"": ""Adreno 610""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Dual 50 MP f/1.8 (wide) PDAF, Auxiliary lens; depan 16 MP f/2.4 (wide)""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""7000 mAh""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""Berat"", ""value"": ""215 g""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""Qualcomm Snapdragon 685, Octa-core""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.75 inci, 1570 \u00d7 720 pixels, IPS LCD, 120Hz""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Dual 50 MP f/1.8 (wide) PDAF""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""7000mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,oppo-a6s-8256-gb-brown,Brown,#a2845e,8/256 GB,5499000,,ready,OP-A6S-ER-CON,Brown,7,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_01_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_02_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_03_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_04_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_05_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_06_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_07_1.webp",https://eraspace.com/erafone/oppo-a6s,oppo-a6s
oppo-a6s,OPPO,OPPO A6s,baru,"8GB/128GB · Qualcomm Snapdragon 685, Octa-core · 7000mAh · Kamera Dual 50 MP f/1.8 (wide) PDAF","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.75 inci, 1570 \u00d7 720 pixels, IPS LCD, 120Hz""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 8 GB, ROM 128 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 15, ColorOS 15.0""}, {""label"": ""CPU"", ""value"": ""Qualcomm Snapdragon 685, Octa-core""}, {""label"": ""GPU"", ""value"": ""Adreno 610""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Dual 50 MP f/1.8 (wide) PDAF, Auxiliary lens; depan 16 MP f/2.4 (wide)""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""7000 mAh""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""Berat"", ""value"": ""215 g""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""Qualcomm Snapdragon 685, Octa-core""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.75 inci, 1570 \u00d7 720 pixels, IPS LCD, 120Hz""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Dual 50 MP f/1.8 (wide) PDAF""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""7000mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,oppo-a6s-8128-gb-brown,Brown,#a2845e,8/128 GB,4999000,,ready,OP-A6S-ER-CON,Brown,7,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_01_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_02_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_03_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_04_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_05_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_06_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_07_1.webp",https://eraspace.com/erafone/oppo-a6s,oppo-a6s
oppo-a6s,OPPO,OPPO A6s,baru,"8GB/128GB · Qualcomm Snapdragon 685, Octa-core · 7000mAh · Kamera Dual 50 MP f/1.8 (wide) PDAF","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.75 inci, 1570 \u00d7 720 pixels, IPS LCD, 120Hz""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 8 GB, ROM 128 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 15, ColorOS 15.0""}, {""label"": ""CPU"", ""value"": ""Qualcomm Snapdragon 685, Octa-core""}, {""label"": ""GPU"", ""value"": ""Adreno 610""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Dual 50 MP f/1.8 (wide) PDAF, Auxiliary lens; depan 16 MP f/2.4 (wide)""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""7000 mAh""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""Berat"", ""value"": ""215 g""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""Qualcomm Snapdragon 685, Octa-core""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.75 inci, 1570 \u00d7 720 pixels, IPS LCD, 120Hz""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Dual 50 MP f/1.8 (wide) PDAF""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""7000mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,oppo-a6s-8256-gb-white,White,#ffffff,8/256 GB,5499000,,ready,OP-A6S-ER-CON,White,2,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_white_01_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_white_02_2.webp",https://eraspace.com/erafone/oppo-a6s,oppo-a6s
oppo-a6s,OPPO,OPPO A6s,baru,"8GB/128GB · Qualcomm Snapdragon 685, Octa-core · 7000mAh · Kamera Dual 50 MP f/1.8 (wide) PDAF","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.75 inci, 1570 \u00d7 720 pixels, IPS LCD, 120Hz""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 8 GB, ROM 128 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 15, ColorOS 15.0""}, {""label"": ""CPU"", ""value"": ""Qualcomm Snapdragon 685, Octa-core""}, {""label"": ""GPU"", ""value"": ""Adreno 610""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Dual 50 MP f/1.8 (wide) PDAF, Auxiliary lens; depan 16 MP f/2.4 (wide)""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""7000 mAh""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""Berat"", ""value"": ""215 g""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""Qualcomm Snapdragon 685, Octa-core""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.75 inci, 1570 \u00d7 720 pixels, IPS LCD, 120Hz""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Dual 50 MP f/1.8 (wide) PDAF""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""7000mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,oppo-a6s-8128-gb-white,White,#ffffff,8/128 GB,4999000,,ready,OP-A6S-ER-CON,White,2,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_white_01_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_white_02_2.webp",https://eraspace.com/erafone/oppo-a6s,oppo-a6s
honor-x5c-plus,Honor,Honor X5C Plus,baru,"4GB/128GB · MediaTek Helio G81, Octa-Core (2× Cortex-A75 2.0GHz + 6× Cortex-A55 1.7GHz) · 5mAh · Kamera Dual Camera 50MP Main Camera (f/1.8) + QVGA 0.08MP","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.74 inci, TFT LCD, HD+ 720 \u00d7 1600 piksel""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 4 GB, ROM 128 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 15, MagicOS 9.0""}, {""label"": ""CPU"", ""value"": ""MediaTek Helio G81, Octa-Core (2\u00d7 Cortex-A75 2.0GHz + 6\u00d7 Cortex-A55 1.7GHz)""}, {""label"": ""GPU"", ""value"": ""ARM Mali-G52 MC2""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Dual Camera 50MP Main Camera (f/1.8) + QVGA 0.08MP ; Depan 5MP (f/2.2)""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""5.130 mAh (typical 5.260 mAh)""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""Berat"", ""value"": ""186 gram""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""MediaTek Helio G81, Octa-Core (2\u00d7 Cortex-A75 2.0GHz + 6\u00d7 Cortex-A55 1.7GHz)""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.74 inci, TFT LCD, HD+ 720 \u00d7 1600 piksel""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Dual Camera 50MP Main Camera (f/1.8) + QVGA 0.08MP""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""5mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,honor-x5c-plus-4128-gb-ocean-cyan,Ocean Cyan,#8e8e93,4/128 GB,2299000,,ready,HON-X5CP-ER-CON,Ocean Cyan,2,"https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_ocean_cyan_1_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_ocean_cyan_2_.webp",https://eraspace.com/erafone/honor-x5c-plus,honor-x5c-plus
honor-x5c-plus,Honor,Honor X5C Plus,baru,"4GB/128GB · MediaTek Helio G81, Octa-Core (2× Cortex-A75 2.0GHz + 6× Cortex-A55 1.7GHz) · 5mAh · Kamera Dual Camera 50MP Main Camera (f/1.8) + QVGA 0.08MP","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.74 inci, TFT LCD, HD+ 720 \u00d7 1600 piksel""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 4 GB, ROM 128 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 15, MagicOS 9.0""}, {""label"": ""CPU"", ""value"": ""MediaTek Helio G81, Octa-Core (2\u00d7 Cortex-A75 2.0GHz + 6\u00d7 Cortex-A55 1.7GHz)""}, {""label"": ""GPU"", ""value"": ""ARM Mali-G52 MC2""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Dual Camera 50MP Main Camera (f/1.8) + QVGA 0.08MP ; Depan 5MP (f/2.2)""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""5.130 mAh (typical 5.260 mAh)""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""Berat"", ""value"": ""186 gram""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""MediaTek Helio G81, Octa-Core (2\u00d7 Cortex-A75 2.0GHz + 6\u00d7 Cortex-A55 1.7GHz)""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.74 inci, TFT LCD, HD+ 720 \u00d7 1600 piksel""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Dual Camera 50MP Main Camera (f/1.8) + QVGA 0.08MP""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""5mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,honor-x5c-plus-4128-gb-midnight-black,Midnight Black,#1a1a2e,4/128 GB,2299000,,ready,HON-X5CP-ER-CON,Midnight Black,9,"https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_1_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_2_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_3_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_4_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_5_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_6_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_7_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_8_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_9_.webp",https://eraspace.com/erafone/honor-x5c-plus,honor-x5c-plus
oppo-reno16,OPPO,OPPO Reno16,baru,"8GB/256GB · Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm), Octa-core · 6700mAh · Kamera Triple 50 MP f/1.8 26mm OIS (wide)","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.32 inci, AMOLED, 1216 x 2640 pixels, 120Hz""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 8 GB, ROM 256 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 16, ColorOS 16""}, {""label"": ""CPU"", ""value"": ""Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm), Octa-core""}, {""label"": ""GPU"", ""value"": ""Adreno 722""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Triple 50 MP f/1.8 26mm OIS (wide), 50 MP f/2.8 80mm OIS 3.5x optical zoom (telephoto), 50 MP f/2.0 16mm 116\u02da (ultrawide); Depan 50 MP f/2.0 18mm 100\u02da (ultrawide)""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""6700 mAh""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""SIM"", ""value"": ""Dual SIM""}, {""label"": ""Berat"", ""value"": ""188 gr""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm), Octa-core""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.32 inci, AMOLED, 1216 x 2640 pixels, 120Hz""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Triple 50 MP f/1.8 26mm OIS (wide)""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""6700mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,oppo-reno16-8256-gb-violet,Violet,#af52de,8/256 GB,11399000,11999000.0,ready,OP-R16-ER-CON,Violet,7,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_twilight_violet_1__2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_twilight_violet_2__2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_twilight_violet_3__2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_twilight_violet_4__2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_twilight_violet_5__2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_twilight_violet_6__2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_twilight_violet_7__2.webp",https://eraspace.com/erafone/oppo-reno16,oppo-reno16
oppo-reno16,OPPO,OPPO Reno16,baru,"8GB/256GB · Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm), Octa-core · 6700mAh · Kamera Triple 50 MP f/1.8 26mm OIS (wide)","[{""group"": ""Layar"", ""items"": [{""label"": ""Ukuran layar"", ""value"": ""6.32 inci, AMOLED, 1216 x 2640 pixels, 120Hz""}]}, {""group"": ""Dapur Pacu"", ""items"": [{""label"": ""Memori"", ""value"": ""RAM 8 GB, ROM 256 GB""}, {""label"": ""Sistem operasi"", ""value"": ""Android 16, ColorOS 16""}, {""label"": ""CPU"", ""value"": ""Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm), Octa-core""}, {""label"": ""GPU"", ""value"": ""Adreno 722""}]}, {""group"": ""Kamera"", ""items"": [{""label"": ""Kamera"", ""value"": ""Triple 50 MP f/1.8 26mm OIS (wide), 50 MP f/2.8 80mm OIS 3.5x optical zoom (telephoto), 50 MP f/2.0 16mm 116\u02da (ultrawide); Depan 50 MP f/2.0 18mm 100\u02da (ultrawide)""}]}, {""group"": ""Baterai"", ""items"": [{""label"": ""Baterai"", ""value"": ""6700 mAh""}]}, {""group"": ""Lainnya"", ""items"": [{""label"": ""SIM"", ""value"": ""Dual SIM""}, {""label"": ""Berat"", ""value"": ""188 gr""}]}]","[{""icon"": ""cpu"", ""label"": ""Prosesor"", ""value"": ""Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm), Octa-core""}, {""icon"": ""smartphone"", ""label"": ""Layar"", ""value"": ""6.32 inci, AMOLED, 1216 x 2640 pixels, 120Hz""}, {""icon"": ""camera"", ""label"": ""Kamera"", ""value"": ""Triple 50 MP f/1.8 26mm OIS (wide)""}, {""icon"": ""battery"", ""label"": ""Baterai"", ""value"": ""6700mAh""}]",Garansi Resmi,Fullset,[],2026-07-09T11:19:47.077Z,oppo-reno16-8256-gb-white,White,#ffffff,8/256 GB,11399000,11999000.0,ready,OP-R16-ER-CON,White,2,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_pop_white_1__1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno16_5g_pop_white_2__1_1.webp",https://eraspace.com/erafone/oppo-reno16,oppo-reno16
